,F1,F2,Position,Question,corrAns,F1_path,F1_congruency,F2_path,F2_congruency
0,Low,High,L,lower,left,Set1/ger_f_70.jpg,N/A,Set1/ger_f_64.jpg,N/A
1,Low,Medium,L,higher,right,Set1/CK_M_20.jpg,N/A,Set1/CK_M_08.jpg,N/A
2,Low,High,L,lower,left,Set1/ger_f_57.jpg,N/A,Set1/ger_m_08.jpg,N/A
3,Low,Medium,R,lower,right,Set1/ger_m_74.jpg,N/A,Set1/CK_F_08.jpg,N/A
4,Low,High,R,higher,left,Set1/CK_M_24.jpg,N/A,Set1/ger_f_27.jpg,N/A
5,Low,High,R,lower,right,Set1/ger_m_90.jpg,N/A,Set1/CK_M_04.jpg,N/A
6,Low,Medium,R,higher,left,Set1/CK_M_14.jpg,N/A,Set1/CK_F_24.jpg,N/A
7,Low,Medium,R,higher,left,Set1/ger_f_03.jpg,N/A,Set1/CK_M_04.jpg,N/A
8,Low,High,R,lower,right,Set1/CK_M_05.jpg,N/A,Set1/CK_M_08.jpg,N/A
9,Low,Medium,R,higher,left,Set1/CK_F_21.jpg,N/A,Set1/ger_m_129.jpg,N/A
10,Low,High,R,lower,right,Set1/ger_m_81.jpg,N/A,Set1/CK_F_53.jpg,N/A
11,Low,High,R,higher,left,Set1/CK_F_46.jpg,N/A,Set1/CK_M_22.jpg,N/A
12,Low,Medium,L,higher,right,Set1/ger_m_167.jpg,N/A,Set1/ger_m_115.jpg,N/A
13,Low,Medium,R,higher,left,Set1/CK_F_36.jpg,N/A,Set1/CK_M_07.jpg,N/A
14,Low,Medium,R,lower,right,Set1/ger_m_111.jpg,N/A,Set1/ger_m_86.jpg,N/A
15,Low,Medium,L,lower,left,Set1/ger_f_34.jpg,N/A,Set1/CK_M_22.jpg,N/A
16,Low,High,L,higher,right,Set1/ger_f_06.jpg,N/A,Set1/CK_M_07.jpg,N/A
17,Low,High,R,higher,left,Set1/CK_F_04.jpg,N/A,Set1/ger_m_86.jpg,N/A
18,Low,Medium,L,lower,left,Set1/ger_f_10.jpg,N/A,Set1/ger_m_91.jpg,N/A
19,Low,High,R,lower,right,Set1/ger_f_45.jpg,N/A,Set1/ger_m_86.jpg,N/A
20,Low,High,L,lower,left,Set2/TE_m_52.jpg,con,Set2/TE_m_56.jpg,con
21,Low,High,L,higher,right,Set2/pal_m_30.jpg,incon,Set2/TE_m_22.jpg,incon
22,Low,High,R,higher,left,Set2/pal_m_55.jpg,con,Set2/pal_f_54.jpg,incon
23,Low,Medium,L,higher,right,Set2/pal_f_15.jpg,con,Set2/TE_m_10.jpg,incon
24,Low,Medium,R,higher,left,Set2/pal_m_36.jpg,incon,Set2/pal_f_27.jpg,con
25,Low,High,L,lower,left,Set2/pal_f_56.jpg,con,Set2/pal_f_28.jpg,incon
26,Low,High,L,higher,right,Set2/TE_m_30.jpg,con,Set2/pal_m_28.jpg,con
27,Low,High,R,lower,right,Set2/pal_f_65.jpg,con,Set2/pal_f_47.jpg,con
28,Low,Medium,L,lower,left,Set2/pal_m_47.jpg,con,Set2/pal_f_41.jpg,con
29,Low,Medium,R,lower,right,Set2/pal_f_35.jpg,con,Set2/pal_f_33.jpg,con
30,Low,Medium,L,higher,right,Set2/ger_f_102.jpg,incon,Set2/TE_m_31.jpg,con
31,Low,High,L,lower,left,Set2/TE_m_54.jpg,con,Set2/TE_m_50.jpg,incon
32,Low,High,L,higher,right,Set2/pal_f_44.jpg,incon,Set2/pal_f_49.jpg,incon
33,Low,Medium,R,higher,left,Set2/pal_m_50.jpg,con,Set2/pal_m_35.jpg,con
34,Low,High,R,lower,right,Set2/pal_f_74.jpg,incon,Set2/pal_f_49.jpg,con
35,Low,Medium,R,lower,right,Set2/TE_m_59.jpg,con,Set2/pal_f_51.jpg,incon
36,Low,High,L,higher,right,Set2/pal_m_27.jpg,con,Set2/pal_f_49.jpg,incon
37,Low,Medium,L,lower,left,Set2/pal_f_26.jpg,incon,Set2/pal_f_49.jpg,incon
38,Low,Medium,L,higher,right,Set2/pal_f_55.jpg,con,Set2/TE_m_50.jpg,con
39,Low,Medium,L,lower,left,Set2/pal_m_25.jpg,incon,Set2/pal_m_53.jpg,incon
